2022.04.17 18:59:36 Started program
2022.04.17 18:59:36 Loaded config
2022.04.17 18:59:46 Tried adding: 1
2022.04.17 18:59:47 Tried adding: 2
2022.04.17 18:59:47 Tried adding: 2
2022.04.17 18:59:47 Tried adding: 2
2022.04.17 18:59:47 Tried adding: 2
2022.04.17 18:59:47 Tried adding: 2
2022.04.17 18:59:48 Tried adding: 2
2022.04.17 18:59:48 Tried adding: 2
2022.04.17 18:59:48 Tried adding: 2
2022.04.17 18:59:48 Tried adding: 2
2022.04.17 18:59:48 Tried adding: 2
2022.04.17 18:59:48 Tried adding: 2
2022.04.17 18:59:48 Tried adding: 2
2022.04.17 18:59:48 Tried adding: 2
2022.04.17 18:59:49 Tried adding: 2
2022.04.17 18:59:49 Tried adding: 2
2022.04.17 18:59:49 Tried adding: 2
2022.04.17 18:59:49 Tried adding: 2
2022.04.17 18:59:50 Tried adding: 2
2022.04.17 18:59:50 Tried adding: 2
2022.04.17 18:59:50 Tried adding: 2
2022.04.17 18:59:50 Tried adding: 2
2022.04.17 18:59:51 Tried adding: 2
2022.04.17 18:59:52 Tried adding: ⌫
2022.04.17 18:59:53 Tried adding: ⌫
2022.04.17 18:59:53 Tried adding: ⌫
2022.04.17 18:59:53 Tried adding: ⌫
2022.04.17 18:59:53 Tried adding: ⌫
2022.04.17 18:59:53 Tried adding: ⌫
2022.04.17 18:59:53 Tried adding: ⌫
2022.04.17 18:59:53 Tried adding: ⌫
2022.04.17 18:59:53 Tried adding: ⌫
2022.04.17 18:59:53 Tried adding: ⌫
2022.04.17 18:59:53 Tried adding: ⌫
2022.04.17 18:59:53 Tried adding: ⌫
2022.04.17 18:59:53 Tried adding: ⌫
2022.04.17 18:59:54 Tried adding: ⌫
2022.04.17 18:59:54 Tried adding: ⌫
2022.04.17 18:59:54 Tried adding: ⌫
2022.04.17 18:59:54 Tried adding: ⌫
2022.04.17 18:59:54 Tried adding: ⌫
2022.04.17 18:59:54 Tried adding: ⌫
2022.04.17 18:59:54 Tried adding: ⌫
2022.04.17 18:59:54 Tried adding: ⌫
2022.04.17 18:59:54 Tried adding: ⌫
2022.04.17 18:59:54 Tried adding: ⌫
2022.04.17 18:59:54 Tried adding: ⌫
2022.04.17 18:59:54 Tried adding: ⌫
2022.04.17 18:59:54 Tried adding: ⌫
2022.04.17 18:59:54 Tried adding: ⌫
2022.04.17 18:59:55 Tried adding: 1
2022.04.17 18:59:55 Tried adding: 2
2022.04.17 18:59:55 Tried adding: 1
2022.04.17 18:59:56 Tried adding: 2
2022.04.17 18:59:56 Tried adding: 1
2022.04.17 18:59:56 Tried adding: 2
2022.04.17 18:59:56 Tried adding: 1
2022.04.17 18:59:56 Tried adding: 2
2022.04.17 18:59:57 Tried adding: 2
2022.04.17 18:59:57 Tried adding: 2
2022.04.17 18:59:57 Tried adding: 2
2022.04.17 18:59:57 Tried adding: 2
2022.04.17 18:59:57 Tried adding: 2
2022.04.17 18:59:57 Tried adding: 2
2022.04.17 18:59:57 Tried adding: 2
2022.04.17 18:59:57 Tried adding: 2
2022.04.17 18:59:57 Tried adding: 2
2022.04.17 18:59:57 Tried adding: 2
2022.04.17 18:59:57 Tried adding: 2
2022.04.17 18:59:57 Tried adding: 2
2022.04.17 18:59:57 Tried adding: 2
2022.04.17 18:59:57 Tried adding: 2
2022.04.17 18:59:57 Tried adding: 2
2022.04.17 18:59:57 Tried adding: 2
2022.04.17 18:59:57 Tried adding: 2
2022.04.17 18:59:57 Tried adding: 2
2022.04.17 18:59:57 Tried adding: 2
2022.04.17 18:59:57 Tried adding: 2
2022.04.17 18:59:58 Tried adding: 2
2022.04.17 18:59:58 Tried adding: 2
2022.04.17 18:59:58 Tried adding: 2
2022.04.17 18:59:58 Tried adding: 2
2022.04.17 18:59:58 Tried adding: 2
2022.04.17 18:59:58 Tried adding: 2
2022.04.17 18:59:58 Tried adding: 2
2022.04.17 18:59:58 Tried adding: 2
2022.04.17 18:59:58 Tried adding: 2
2022.04.17 18:59:58 Tried adding: 2
2022.04.17 18:59:58 Tried adding: 2
2022.04.17 18:59:58 Tried adding: 2
2022.04.17 18:59:58 Tried adding: 2
2022.04.17 18:59:58 Tried adding: 2
2022.04.17 18:59:58 Tried adding: 2
2022.04.17 18:59:58 Tried adding: 2
2022.04.17 18:59:58 Tried adding: 2
2022.04.17 18:59:58 Tried adding: 2
2022.04.17 18:59:58 Tried adding: 2
2022.04.17 18:59:58 Tried adding: 2
2022.04.17 18:59:58 Tried adding: 2
2022.04.17 18:59:58 Tried adding: 2
2022.04.17 18:59:58 Tried adding: 2
2022.04.17 18:59:58 Tried adding: 2
2022.04.17 18:59:58 Tried adding: 2
2022.04.17 18:59:58 Tried adding: 2
2022.04.17 18:59:58 Tried adding: 2
2022.04.17 18:59:58 Tried adding: 2
2022.04.17 18:59:58 Tried adding: 2
2022.04.17 18:59:59 Tried adding: 2
2022.04.17 18:59:59 Tried adding: 2
2022.04.17 18:59:59 Tried adding: 2
2022.04.17 18:59:59 Tried adding: 2
2022.04.17 18:59:59 Tried adding: 2
2022.04.17 18:59:59 Tried adding: 2
2022.04.17 18:59:59 Tried adding: 2
2022.04.17 18:59:59 Tried adding: 2
2022.04.17 18:59:59 Tried adding: 2
2022.04.17 18:59:59 Tried adding: 2
2022.04.17 18:59:59 Tried adding: 2
2022.04.17 18:59:59 Tried adding: 2
2022.04.17 18:59:59 Tried adding: 2
2022.04.17 18:59:59 Tried adding: 2
2022.04.17 18:59:59 Tried adding: 2
2022.04.17 18:59:59 Tried adding: 2
2022.04.17 18:59:59 Tried adding: 2
2022.04.17 18:59:59 Tried adding: 2
2022.04.17 18:59:59 Tried adding: 2
2022.04.17 18:59:59 Tried adding: 2
2022.04.17 18:59:59 Tried adding: 2
2022.04.17 18:59:59 Tried adding: 2
2022.04.17 18:59:59 Tried adding: 2
2022.04.17 18:59:59 Tried adding: 2
2022.04.17 18:59:59 Tried adding: 2
2022.04.17 18:59:59 Tried adding: 2
2022.04.17 18:59:59 Tried adding: 2
2022.04.17 18:59:59 Tried adding: 2
2022.04.17 18:59:59 Tried adding: 2
2022.04.17 18:59:59 Tried adding: 2
2022.04.17 19:00:00 Tried adding: 2
2022.04.17 19:00:00 Tried adding: 2
2022.04.17 19:00:00 Tried adding: 2
2022.04.17 19:00:00 Tried adding: 2
2022.04.17 19:00:00 Tried adding: 2
2022.04.17 19:00:00 Tried adding: 2
2022.04.17 19:00:00 Tried adding: 2
2022.04.17 19:00:00 Tried adding: 2
2022.04.17 19:00:00 Tried adding: 2
2022.04.17 19:00:01 Tried adding: 2
2022.04.17 19:00:01 Tried adding: 2
2022.04.17 19:00:01 Tried adding: 2
2022.04.17 19:00:01 Tried adding: 2
2022.04.17 19:00:01 Tried adding: 2
2022.04.17 19:00:02 Tried adding: 2
2022.04.17 19:00:02 Tried adding: 2
2022.04.17 19:00:03 Tried adding: clr
2022.04.17 19:00:04 Tried adding: 1
2022.04.17 19:00:04 Tried adding: +
2022.04.17 19:00:04 Tried adding: =
2022.04.17 19:00:04 Calculating: 1+
2022.04.17 19:00:05 Tried adding: =
2022.04.17 19:00:05 Calculating: 1+
2022.04.17 19:00:05 Tried adding: =
2022.04.17 19:00:05 Calculating: 1+
2022.04.17 19:00:05 Tried adding: =
2022.04.17 19:00:05 Calculating: 1+
2022.04.17 19:00:05 Tried adding: =
2022.04.17 19:00:05 Calculating: 1+
2022.04.17 19:00:06 Tried adding: 1
2022.04.17 19:00:06 Tried adding: =
2022.04.17 19:00:06 Calculating: 1+1
2022.04.17 19:00:06 Result: 2
2022.04.17 19:00:06 Tried adding: =
2022.04.17 19:00:06 Calculating: 2
2022.04.17 19:00:06 Result: 2
2022.04.17 19:00:06 Tried adding: =
2022.04.17 19:00:06 Calculating: 2
2022.04.17 19:00:06 Result: 2
2022.04.17 19:00:07 Tried adding: *
2022.04.17 19:00:08 Tried adding: 2
2022.04.17 19:00:08 Tried adding: =
2022.04.17 19:00:08 Calculating: 2*2
2022.04.17 19:00:08 Result: 4
2022.04.17 19:00:08 Tried adding: =
2022.04.17 19:00:08 Calculating: 4
2022.04.17 19:00:08 Result: 4
2022.04.17 19:00:08 Tried adding: =
2022.04.17 19:00:08 Calculating: 4
2022.04.17 19:00:08 Result: 4
2022.04.17 19:00:09 Tried adding: =
2022.04.17 19:00:09 Calculating: 4
2022.04.17 19:00:09 Result: 4
2022.04.17 19:00:09 Tried adding: +
2022.04.17 19:00:10 Tried adding: 1
2022.04.17 19:00:10 Tried adding: 2
2022.04.17 19:00:10 Tried adding: =
2022.04.17 19:00:10 Calculating: 4+12
2022.04.17 19:00:10 Result: 16
2022.04.17 19:00:10 Tried adding: =
2022.04.17 19:00:10 Calculating: 16
2022.04.17 19:00:10 Result: 16
2022.04.17 19:00:10 Tried adding: =
2022.04.17 19:00:10 Calculating: 16
2022.04.17 19:00:10 Result: 16
2022.04.17 19:00:10 Tried adding: =
2022.04.17 19:00:10 Calculating: 16
2022.04.17 19:00:10 Result: 16
2022.04.17 19:00:11 Tried adding: =
2022.04.17 19:00:11 Calculating: 16
2022.04.17 19:00:11 Result: 16
2022.04.17 19:00:11 Tried adding: =
2022.04.17 19:00:11 Calculating: 16
2022.04.17 19:00:11 Result: 16
2022.04.17 19:00:11 Tried adding: =
2022.04.17 19:00:11 Calculating: 16
2022.04.17 19:00:11 Result: 16
2022.04.17 19:00:11 Tried adding: +
2022.04.17 19:00:11 Tried adding: =
2022.04.17 19:00:11 Calculating: 16+
2022.04.17 19:00:12 Tried adding: =
2022.04.17 19:00:12 Calculating: 16+
2022.04.17 19:00:12 Tried adding: =
2022.04.17 19:00:12 Calculating: 16+
2022.04.17 19:00:12 Tried adding: =
2022.04.17 19:00:12 Calculating: 16+
2022.04.17 19:00:12 Tried adding: =
2022.04.17 19:00:12 Calculating: 16+
2022.04.17 19:00:12 Tried adding: =
2022.04.17 19:00:12 Calculating: 16+
2022.04.17 19:00:12 Tried adding: =
2022.04.17 19:00:12 Calculating: 16+
2022.04.17 19:00:12 Tried adding: =
2022.04.17 19:00:12 Calculating: 16+
2022.04.17 19:00:13 Tried adding: =
2022.04.17 19:00:13 Calculating: 16+
2022.04.17 19:00:13 Tried adding: =
2022.04.17 19:00:13 Calculating: 16+
2022.04.17 19:00:13 Tried adding: =
2022.04.17 19:00:13 Calculating: 16+
2022.04.17 19:00:13 Tried adding: =
2022.04.17 19:00:13 Calculating: 16+
2022.04.17 19:00:13 Tried adding: =
2022.04.17 19:00:13 Calculating: 16+
2022.04.17 19:00:13 Tried adding: =
2022.04.17 19:00:13 Calculating: 16+
2022.04.17 19:00:17 Tried adding: ⌫
